organizationId,name,nationality,birthYear,archetype,role,squadOrder
organization.wt2026.astana,Ryan Mullen,IRL,1994,diesel,support,15
organization.wt2026.astana,Rémi Cavagna,FRA,1995,tt,support,16
organization.wt2026.astana,Laurence Pithie,NZL,2002,neo,neo,17
organization.wt2026.astana,Emilius Platt,GER,2002,neo,neo,18
organization.wt2026.astana,Lukas Klasen,GER,2004,neo,neo,19
organization.wt2026.astana,Lennert Belmans,BEL,2001,neo,neo,20
organization.wt2026.astana,Milan Menten,BEL,1999,sprinter,support,21
organization.wt2026.astana,Quinn Simmons,USA,2001,gc,neo,22
organization.wt2026.israel,Derek Gee,CAN,1997,gc,leader,1
organization.wt2026.israel,Corbin Strong,NZL,2000,classics,card,2
organization.wt2026.israel,Jake Stewart,GBR,1999,sprinter,support,3
organization.wt2026.israel,Dylan Teuns,BEL,1992,gc,support,4
organization.wt2026.israel,Hugo Houle,CAN,1990,diesel,support,5
organization.wt2026.israel,Krists Neilands,LAT,1994,classics,support,6
organization.wt2026.israel,Riley Sheehan,USA,2000,neo,neo,7
organization.wt2026.israel,Nick Schultz,AUS,1994,gc,support,8
organization.wt2026.tudor,Marc Hirschi,SUI,1998,classics,leader,1
organization.wt2026.tudor,Arvid de Kleijn,NED,1994,sprinter,card,2
organization.wt2026.tudor,Michael Storer,AUS,1997,gc,support,3
organization.wt2026.tudor,Marco Haller,AUT,1991,classics,support,4
organization.wt2026.tudor,Marius Mayrhofer,GER,2000,sprinter,support,5
organization.wt2026.tudor,Alberto Dainese,ITA,1998,sprinter,support,6
organization.wt2026.tudor,Luc Wirtgen,LUX,1998,gc,support,7
organization.wt2026.tudor,Sebastian Molano,COL,1994,sprinter,support,8
organization.wt2026.q36,Matteo Sobrero,ITA,1997,tt,leader,1
organization.wt2026.q36,Xandro Meurisse,BEL,1992,classics,card,2
organization.wt2026.q36,Damien Howson,AUS,1992,gc,support,3
organization.wt2026.q36,Nickolas Zukowsky,CAN,1998,tt,support,4
organization.wt2026.q36,Kamil Gradek,POL,1990,diesel,support,5
organization.wt2026.q36,Rory Townsend,IRL,1995,classics,support,6
organization.wt2026.q36,David de la Cruz,ESP,1989,gc,support,7
organization.wt2026.q36,Sjoerd Bax,NED,1996,gc,support,8
organization.wt2026.totalenergies,Mathieu Burgaudeau,FRA,1998,classics,leader,1
organization.wt2026.totalenergies,Anthony Turgis,FRA,1994,classics,card,2
organization.wt2026.totalenergies,Steff Cras,BEL,1996,gc,support,3
organization.wt2026.totalenergies,Emilien Jeannière,FRA,1998,sprinter,support,4
organization.wt2026.totalenergies,Sandy Dujardin,FRA,1997,sprinter,support,5
organization.wt2026.totalenergies,Fabien Grellier,FRA,1994,diesel,support,6
organization.wt2026.totalenergies,Jordan Jegat,FRA,1999,gc,support,7
organization.wt2026.totalenergies,Pierre Latour,FRA,1993,gc,support,8
organization.wt2026.cofidis,Ion Izagirre,ESP,1989,gc,leader,1
organization.wt2026.cofidis,Stefano Oldani,ITA,1998,classics,card,2
organization.wt2026.cofidis,Alexis Renard,FRA,1999,sprinter,support,3
organization.wt2026.cofidis,Piet Allegaert,BEL,1995,classics,support,4
organization.wt2026.cofidis,Axel Zingle,FRA,1998,sprinter,support,5
organization.wt2026.cofidis,Benjamin Thomas,FRA,1995,tt,support,6
organization.wt2026.cofidis,Guillaume Martin,FRA,1993,gc,support,7
organization.wt2026.cofidis,Jesús Herrada,ESP,1990,gc,support,8
organization.wt2026.unibet,Hartthijs de Vries,NED,1996,gc,leader,1
organization.wt2026.unibet,Timo de Jong,NED,1999,classics,card,2
organization.wt2026.unibet,Jelle Wolsink,NED,2001,neo,neo,3
organization.wt2026.unibet,Axel van der Tuuk,NED,2000,tt,support,4
organization.wt2026.unibet,Abram Stockman,BEL,1996,diesel,support,5
organization.wt2026.unibet,Adne van Engelen,NED,1993,gc,support,6
organization.wt2026.unibet,Kevin van Melsen,BEL,1987,diesel,support,7
organization.wt2026.unibet,Martijn Budding,NED,1995,diesel,support,8
organization.wt2026.australia,Luke Plapp,AUS,2000,gc,leader,1
organization.wt2026.australia,Fergus Browning,AUS,2004,gc,card,2
organization.wt2026.australia,Kelland O'Brien,AUS,1998,tt,support,3
organization.wt2026.australia,Simon Clarke,AUS,1986,classics,support,4
organization.wt2026.australia,Jack Haig,AUS,1993,gc,support,5
organization.wt2026.australia,Jarrad Drizners,AUS,1999,diesel,support,6
organization.wt2026.australia,Patrick Eddy,AUS,2003,sprinter,support,7
organization.wt2026.australia,Liam Slock,AUS,2000,diesel,support,8
